# data of TPKProject ZxxVar:10% ZxyVar:5% ZyxVar:5% ZyyVar:10%
# Periods(s) Code GG_Lat GG_Lon X(m) Y(m) Z(m) Component Real Imag Error Azimuth
> Full_Impedance
> exp(+i\omega t)
> [mV/km]/[nT]
> 0
> 31.8681944 99.0660278
> 48 88
684.931506849315  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZXX -0.25757 -0.27882 1E5 0
684.931506849315  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZXY 0.16173 0.47302 1E5 0
684.931506849315  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZYX -0.074777 -0.091969 1E5 0
684.931506849315  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZYY 0.092132 0.10691 1E5 0
454.545454545455  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZXX -0.36877 -0.25337 1E5 0
454.545454545455  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZXY 0.20209 0.60018 1E5 0
454.545454545455  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZYX -0.10516 -0.14483 1E5 0
454.545454545455  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZYY 0.12709 0.046389 1E5 0
341.296928327645  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZXX -0.33865 -0.074506 1E5 0
341.296928327645  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZXY 0.28303 0.64055 1E5 0
341.296928327645  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZYX -0.10388 -0.19537 1E5 0
341.296928327645  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZYY 0.084226 0.12293 1E5 0
227.272727272727  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZXX -0.35963 -0.78999 1E5 0
227.272727272727  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZXY 0.36511 0.76413 1E5 0
227.272727272727  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZYX -0.14873 -0.25195 1E5 0
227.272727272727  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZYY 0.060411 0.067153 1E5 0
169.491525423729  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZXX -0.15795 -0.61552 1E5 0
169.491525423729  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZXY 0.41882 0.88985 1E5 0
169.491525423729  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZYX -0.1445 -0.29123 1E5 0
169.491525423729  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZYY 0.15847 0.09722 1E5 0
113.636363636364  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZXX -0.26705 -0.70505 1E5 0
113.636363636364  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZXY 0.62219 1.258 1E5 0
113.636363636364  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZYX -0.15373 -0.37233 1E5 0
113.636363636364  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZYY 0.053982 0.092695 1E5 0
85.4700854700855  DGDR101A  31.8681944 99.0660278  -350900 -144800 0 ZXX -0.2966 -0.92806 1E5 0
